study_id,treatment_code,treatment_group,deaths,participants,survivors,mortality_risk,mortality_pct
1,1,Control,3,39,36,0.07692307692307693,7.69
1,2,Beta Blocker,3,38,35,0.07894736842105263,7.89
2,1,Control,14,116,102,0.1206896551724138,12.07
2,2,Beta Blocker,7,114,107,0.06140350877192982,6.14
3,1,Control,11,93,82,0.11827956989247312,11.83
3,2,Beta Blocker,5,69,64,0.07246376811594203,7.25
4,1,Control,127,1520,1393,0.08355263157894736,8.36
4,2,Beta Blocker,102,1533,1431,0.06653620352250489,6.65
5,1,Control,27,365,338,0.07397260273972603,7.4
5,2,Beta Blocker,28,355,327,0.07887323943661972,7.89
6,1,Control,6,52,46,0.11538461538461539,11.54
6,2,Beta Blocker,4,59,55,0.06779661016949153,6.78
7,1,Control,152,939,787,0.16187433439829607,16.19
7,2,Beta Blocker,98,945,847,0.1037037037037037,10.37
8,1,Control,48,471,423,0.10191082802547771,10.19
8,2,Beta Blocker,60,632,572,0.0949367088607595,9.49
9,1,Control,37,282,245,0.13120567375886524,13.12
9,2,Beta Blocker,25,278,253,0.08992805755395683,8.99
10,1,Control,188,1921,1733,0.09786569495054659,9.79
10,2,Beta Blocker,138,1916,1778,0.0720250521920668,7.2
11,1,Control,52,583,531,0.08919382504288165,8.92
11,2,Beta Blocker,64,873,809,0.07331042382588775,7.33
12,1,Control,47,266,219,0.17669172932330826,17.67
12,2,Beta Blocker,45,263,218,0.17110266159695817,17.11
13,1,Control,16,293,277,0.05460750853242321,5.46
13,2,Beta Blocker,9,291,282,0.030927835051546393,3.09
14,1,Control,45,883,838,0.05096262740656852,5.1
14,2,Beta Blocker,57,858,801,0.06643356643356643,6.64
15,1,Control,31,147,116,0.2108843537414966,21.09
15,2,Beta Blocker,25,154,129,0.16233766233766234,16.23
16,1,Control,38,213,175,0.1784037558685446,17.84
16,2,Beta Blocker,33,207,174,0.15942028985507245,15.94
17,1,Control,12,122,110,0.09836065573770492,9.84
17,2,Beta Blocker,28,251,223,0.11155378486055777,11.16
18,1,Control,6,154,148,0.03896103896103896,3.9
18,2,Beta Blocker,8,151,143,0.052980132450331126,5.3
19,1,Control,3,134,131,0.022388059701492536,2.24
19,2,Beta Blocker,6,174,168,0.034482758620689655,3.45
20,1,Control,40,218,178,0.1834862385321101,18.35
20,2,Beta Blocker,32,209,177,0.15311004784688995,15.31
21,1,Control,43,364,321,0.11813186813186813,11.81
21,2,Beta Blocker,27,391,364,0.06905370843989769,6.91
22,1,Control,39,674,635,0.057863501483679525,5.79
22,2,Beta Blocker,22,680,658,0.03235294117647059,3.24
