study_id,control_deaths,control_survivors,control_participants,control_mortality_risk,beta_blocker_deaths,beta_blocker_survivors,beta_blocker_participants,beta_blocker_mortality_risk,total_participants,risk_difference,has_zero_cell,continuity_correction,log_odds_ratio,se_log_odds_ratio,odds_ratio,or_ci_lower_95,or_ci_upper_95,beta_blocker_mortality_pct,control_mortality_pct
1,3,36,39,0.07692307692307693,3,35,38,0.07894736842105263,77,0.0020242914979757,False,0.0,0.02817087696669644,0.8503034005670406,1.0285714285714287,0.19428603702615427,5.44536910560922,7.89,7.69
2,14,102,116,0.1206896551724138,7,107,114,0.06140350877192982,230,-0.05928614640048398,False,0.0,-0.7410032017375806,0.4831515603274661,0.4766355140186915,0.1848925820735255,1.228721080511061,6.14,12.07
3,11,82,93,0.11827956989247312,5,64,69,0.07246376811594203,162,-0.04581580177653109,False,0.0,-0.5406211964596889,0.5645610798313239,0.5823863636363636,0.1925959297673157,1.7610646131481535,7.25,11.83
4,127,1393,1520,0.08355263157894736,102,1431,1533,0.06653620352250489,3053,-0.017016428056442476,False,0.0,-0.2461280789509654,0.13818330009794985,0.7818220835603097,0.5963262590721146,1.0250190412437716,6.65,8.36
5,27,338,365,0.07397260273972603,28,327,355,0.07887323943661972,720,0.004900636696893695,False,0.0,0.06945336875664007,0.280656385297956,1.0719220749801788,0.6183917353133513,1.8580729159447489,7.89,7.4
6,6,46,52,0.11538461538461539,4,55,59,0.06779661016949153,111,-0.047588005215123866,False,0.0,-0.5841568968515403,0.6757126721345896,0.5575757575757576,0.14829470513243787,2.0964384747151437,6.78,11.54
7,152,787,939,0.16187433439829607,98,847,945,0.1037037037037037,1884,-0.05817063069459237,False,0.0,-0.5123854884103555,0.13868783139065796,0.5990648107872989,0.4564785180770156,0.7861895649229069,10.37,16.19
8,48,423,471,0.10191082802547771,60,572,632,0.0949367088607595,1103,-0.006974119164718212,False,0.0,-0.07862326101931019,0.2039909751486697,0.9243881118881119,0.6197459937978128,1.3787800001154022,9.49,10.19
9,37,245,282,0.13120567375886524,25,253,278,0.08992805755395683,560,-0.04127761620490841,False,0.0,-0.42417336595881705,0.27397304402084655,0.6543104369191325,0.3824487841836629,1.1194234772510339,8.99,13.12
10,188,1733,1921,0.09786569495054659,138,1778,1916,0.0720250521920668,3837,-0.02584064275847979,False,0.0,-0.3348234040309882,0.11706831120786287,0.7154644233300625,0.568771052510815,0.8999919014712614,7.2,9.79
11,52,531,583,0.08919382504288165,64,809,873,0.07331042382588775,1456,-0.0158834012169939,False,0.0,-0.2133975310383084,0.1948720152953822,0.8078349339165161,0.5513713827381093,1.1835893208949384,7.33,8.92
12,47,219,266,0.17669172932330826,45,218,263,0.17110266159695817,529,-0.005589067726350094,False,0.0,-0.03890844491232692,0.2294606370946179,0.9618387663478432,0.6134532047491817,1.508075604279863,17.11,17.67
13,16,277,293,0.05460750853242321,9,282,291,0.030927835051546393,584,-0.023679673480876816,False,0.0,-0.5932537096543371,0.42516740080248433,0.5525265957446808,0.2401283239932301,1.2713437295877381,3.09,5.46
14,45,838,883,0.05096262740656852,57,801,858,0.06643356643356643,1741,0.015470939026997914,False,0.0,0.2815459314779541,0.20544546416133416,1.3251768622555138,0.8859212824846061,1.9822231963231827,6.64,5.1
15,31,116,147,0.2108843537414966,25,129,154,0.16233766233766234,301,-0.048546691403834275,False,0.0,-0.3213335928722529,0.29770907301558275,0.725181295323831,0.40460525104037565,1.2997555264923415,16.23,21.09
16,38,175,213,0.1784037558685446,33,174,207,0.15942028985507245,420,-0.018983466013472144,False,0.0,-0.13534792355092054,0.26092188855629156,0.8734119782214156,0.5237426584510563,1.4565330346715202,15.94,17.84
17,12,110,122,0.09836065573770492,28,223,251,0.11155378486055777,373,0.01319312912285285,False,0.0,0.1406064547195012,0.3641741795779371,1.1509715994020928,0.5637327782146926,2.3499354194474353,11.16,9.84
18,6,148,154,0.03896103896103896,8,143,151,0.052980132450331126,305,0.014019093489292166,False,0.0,0.32204971595598864,0.552644940641304,1.3799533799533799,0.4671362221007996,4.076479709239609,5.3,3.9
19,3,131,134,0.022388059701492536,6,168,174,0.034482758620689655,308,0.012094698919197119,False,0.0,0.4443805243578379,0.7166491252618958,1.5595238095238095,0.38279650055327635,6.353544269491465,3.45,2.24
20,40,178,218,0.1834862385321101,32,177,209,0.15311004784688995,427,-0.030376190685220156,False,0.0,-0.21750973359595369,0.2598416730284313,0.8045197740112995,0.48345385278354186,1.3388083744675179,15.31,18.35
21,43,321,364,0.11813186813186813,27,364,391,0.06905370843989769,755,-0.049078159691970435,False,0.0,-0.591075994195958,0.2572068594250277,0.5537311525683619,0.33447222452239295,0.9167224266903466,6.91,11.81
22,39,635,674,0.057863501483679525,22,658,680,0.03235294117647059,1354,-0.025510560307208933,False,0.0,-0.6080991252039563,0.2723786538700916,0.5443846933208635,0.319192379707155,0.9284516585074588,3.24,5.79
