parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_study[1],-2.356731,0.377721,-3.113327,-1.63718,0.003378,0.004722,12982.718154,5735.499526,1.00073
alpha_study[2],-2.195739,0.214926,-2.626666,-1.792246,0.001981,0.002691,12062.366671,5567.889394,1.000771
alpha_study[3],-2.136467,0.249795,-2.616133,-1.643813,0.002349,0.002983,11400.805346,5786.268551,1.000778
alpha_study[4],-2.389272,0.073128,-2.532372,-2.24472,0.000662,0.000853,12227.068595,6260.004311,1.000018
alpha_study[5],-2.374657,0.139534,-2.648231,-2.111663,0.001198,0.001761,13648.507645,5774.608703,1.001118
alpha_study[6],-2.218086,0.30788,-2.841134,-1.627759,0.002773,0.003998,12613.569706,5226.836129,1.000254
alpha_study[7],-1.7589,0.071608,-1.895521,-1.617995,0.000632,0.000876,12876.663814,6478.295852,1.001137
alpha_study[8],-2.085435,0.104943,-2.287183,-1.876971,0.000943,0.001226,12462.256093,6548.676284,1.000722
alpha_study[9],-1.975208,0.134113,-2.238619,-1.712993,0.001157,0.001563,13394.118091,5809.795818,1.000213
alpha_study[10],-2.255688,0.062987,-2.383045,-2.136005,0.00059,0.000762,11421.679234,5484.36268,1.00018
alpha_study[11],-2.300985,0.098819,-2.48996,-2.105906,0.00091,0.001105,11812.927738,6070.604648,0.999906
alpha_study[12],-1.457321,0.116574,-1.687255,-1.233611,0.001018,0.001334,13159.568109,6541.493492,0.999976
alpha_study[13],-2.950056,0.196181,-3.335104,-2.576425,0.001732,0.002412,13151.509963,5606.542809,1.000495
alpha_study[14],-2.652278,0.102798,-2.85837,-2.457469,0.000935,0.001206,12148.225304,6098.62987,1.00071
alpha_study[15],-1.387296,0.149291,-1.66525,-1.088198,0.001324,0.001648,12731.172272,6276.839783,0.999996
alpha_study[16],-1.496919,0.132742,-1.761445,-1.243773,0.001145,0.00165,13461.220052,5491.177815,1.000562
alpha_study[17],-1.972049,0.172347,-2.315808,-1.638733,0.001491,0.002222,13609.874951,4997.333102,1.000007
alpha_study[18],-2.858996,0.250972,-3.330881,-2.362476,0.002225,0.003028,13012.919605,5898.473903,0.999782
alpha_study[19],-3.214799,0.283619,-3.781319,-2.674099,0.002417,0.003551,14280.308239,6080.412172,1.000072
alpha_study[20],-1.500607,0.134545,-1.761453,-1.23807,0.001237,0.001641,11830.338839,6186.052596,1.000291
alpha_study[21],-2.16183,0.125634,-2.417787,-1.928941,0.00112,0.001475,12702.320006,5663.32492,1.00034
alpha_study[22],-2.917255,0.128461,-3.171076,-2.666792,0.001158,0.001544,12431.121385,6201.30383,0.999951
mu,-0.259306,0.048585,-0.354236,-0.16296,0.000519,0.000505,8772.486859,6874.652408,1.000705
