parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_study[1],-2.364049,0.384054,-3.135376,-1.638307,0.003191,0.004301,14900.272593,7000.668514,1.000401
alpha_study[2],-2.190566,0.226883,-2.638764,-1.753516,0.001861,0.002371,15134.197855,6937.815864,1.001253
alpha_study[3],-2.139504,0.259626,-2.66769,-1.661817,0.001838,0.002905,20473.896161,7825.971621,1.000742
alpha_study[4],-2.393882,0.079971,-2.549855,-2.237138,0.000721,0.000768,12324.52026,7874.588846,1.000179
alpha_study[5],-2.402591,0.150801,-2.70268,-2.11023,0.00142,0.001525,11449.211353,7196.183776,0.999953
alpha_study[6],-2.210463,0.316539,-2.836446,-1.592247,0.002912,0.003258,11932.719687,7245.175059,1.000522
alpha_study[7],-1.71717,0.082149,-1.876753,-1.557427,0.000891,0.000764,8512.218478,8005.506451,1.0005
alpha_study[8],-2.115606,0.120041,-2.358305,-1.886082,0.001138,0.00116,11282.346909,8023.002083,1.000272
alpha_study[9],-1.966013,0.146671,-2.270069,-1.694708,0.001209,0.001466,14727.311219,7955.511076,1.000445
alpha_study[10],-2.241281,0.068931,-2.374962,-2.105034,0.000599,0.000661,13268.797921,8283.133025,1.000032
alpha_study[11],-2.310822,0.114151,-2.532623,-2.086168,0.001006,0.001095,12979.412447,7538.169351,0.999778
alpha_study[12],-1.487659,0.13093,-1.742592,-1.226998,0.0012,0.00137,12094.282456,7656.819007,1.000777
alpha_study[13],-2.934011,0.200449,-3.322623,-2.555227,0.001717,0.001981,13622.609955,7973.29195,0.999921
alpha_study[14],-2.721273,0.123982,-2.961832,-2.477732,0.001514,0.001174,6778.461269,6547.799367,0.999951
alpha_study[15],-1.392381,0.156825,-1.705378,-1.09118,0.001383,0.001512,12917.635323,7950.309182,1.000363
alpha_study[16],-1.515953,0.141963,-1.78779,-1.235692,0.00125,0.00148,12976.110541,7751.20815,0.999794
alpha_study[17],-2.012721,0.189966,-2.377541,-1.631694,0.001857,0.001906,10657.115611,7064.24482,1.000282
alpha_study[18],-2.871441,0.257013,-3.371194,-2.381249,0.002055,0.002755,15951.525852,7370.951131,0.999942
alpha_study[19],-3.222628,0.300451,-3.839681,-2.662908,0.002387,0.00337,16298.318152,7358.871942,1.000098
alpha_study[20],-1.508359,0.140472,-1.792587,-1.240474,0.001196,0.001487,13900.839275,8286.764221,1.001283
alpha_study[21],-2.131905,0.136223,-2.402616,-1.871173,0.001303,0.001269,10930.037825,8535.649664,0.999997
alpha_study[22],-2.88875,0.14115,-3.158618,-2.604487,0.001218,0.001386,13410.328365,7373.401647,0.999755
mu,-0.25131,0.063094,-0.378741,-0.127634,0.00083,0.000679,5827.764267,5001.837523,1.000408
tau,0.127207,0.077382,1.7e-05,0.263162,0.001567,0.000783,2307.431431,3205.660639,1.001028
z_study[1],0.027148,0.989286,-1.884202,1.959538,0.007303,0.010839,18406.65106,7479.34068,1.000074
z_study[2],-0.233919,0.978214,-2.082743,1.759314,0.007974,0.010278,15150.757914,7412.60801,0.999925
z_study[3],-0.105155,0.976602,-2.103378,1.725301,0.007239,0.01093,18199.752555,7672.472129,1.000462
z_study[4],0.002112,0.779964,-1.593699,1.534366,0.007776,0.008474,10091.147634,7216.675381,1.000285
z_study[5],0.349923,0.941365,-1.445001,2.240787,0.008012,0.010041,13852.618816,7518.914295,1.000176
z_study[6],-0.089906,0.977132,-2.095743,1.725383,0.008103,0.009759,14552.403247,7670.080309,1.000531
z_study[7],-0.753962,0.817824,-2.341954,0.891609,0.009688,0.00892,7379.692483,6036.864905,1.000619
z_study[8],0.316474,0.856737,-1.385382,2.0116,0.007728,0.008378,12393.030308,7442.323706,1.000073
z_study[9],-0.202277,0.917307,-2.002136,1.591642,0.007969,0.00921,13304.977025,7917.690848,1.000072
z_study[10],-0.308745,0.762485,-1.746121,1.310398,0.00785,0.008656,9549.094846,6636.595554,0.999993
z_study[11],0.065851,0.835464,-1.625765,1.649746,0.007337,0.008635,12973.267038,8160.839949,1.000007
z_study[12],0.382594,0.898707,-1.400515,2.128615,0.008159,0.008937,12196.504174,7425.427877,1.00029
z_study[13],-0.286408,0.968872,-2.175309,1.597836,0.00859,0.010111,12697.673123,7947.583204,1.000703
z_study[14],0.945081,0.923839,-0.974967,2.685791,0.010714,0.009581,7695.976893,6498.198841,1.000979
z_study[15],-0.008637,0.920535,-1.814571,1.810881,0.007435,0.010202,15367.035824,7336.047781,1.000264
z_study[16],0.189943,0.902691,-1.574769,2.00462,0.008314,0.009616,11888.77427,7129.293573,1.001204
z_study[17],0.325324,0.93946,-1.544922,2.119309,0.009271,0.009189,10286.971717,7830.847514,1.000903
z_study[18],0.160859,0.970697,-1.772205,2.031044,0.007432,0.011248,17075.675706,6983.606323,1.000899
z_study[19],0.057199,0.988046,-1.828922,2.05945,0.00736,0.011469,18026.992444,6765.543839,1.000216
z_study[20],0.08206,0.894624,-1.700633,1.806781,0.007509,0.009194,14216.332068,7981.27028,0.999944
z_study[21],-0.467083,0.89163,-2.200582,1.289516,0.009139,0.008506,9661.934847,7329.438036,1.000043
z_study[22],-0.500846,0.913585,-2.288531,1.310949,0.008751,0.009513,11003.364625,7225.986761,1.000929
