parameter,mean,sd,hdi_2.5%,hdi_97.5%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
alpha_study[1],-2.360366,0.365214,-3.092956,-1.662925,0.002725,0.004069,17815.860909,7323.94727,1.000574
alpha_study[2],-2.187981,0.227399,-2.622427,-1.746025,0.001726,0.002323,17442.532902,7715.375664,1.000796
alpha_study[3],-2.139017,0.254769,-2.671492,-1.662079,0.001989,0.002884,16497.919317,7049.299565,1.000554
alpha_study[4],-2.397753,0.078225,-2.554825,-2.249773,0.000656,0.000769,14236.894584,7789.555126,1.000233
alpha_study[5],-2.40509,0.151289,-2.714016,-2.125635,0.001295,0.001595,13703.199871,7604.756898,1.000686
alpha_study[6],-2.215176,0.30964,-2.81918,-1.617509,0.002553,0.003261,15035.075922,7649.218435,1.000881
alpha_study[7],-1.720537,0.083184,-1.873838,-1.545386,0.000957,0.000793,7583.645211,7016.16044,1.001008
alpha_study[8],-2.117997,0.119076,-2.347606,-1.883033,0.001135,0.001197,11201.523099,7464.27783,0.999875
alpha_study[9],-1.97031,0.14449,-2.258829,-1.694681,0.001242,0.001451,13542.255724,8087.409285,1.0007
alpha_study[10],-2.245213,0.069031,-2.383778,-2.112477,0.000596,0.000679,13409.973156,7784.222218,1.000096
alpha_study[11],-2.316165,0.112194,-2.530994,-2.094193,0.001048,0.001165,11297.152813,7356.447308,1.000229
alpha_study[12],-1.489209,0.126991,-1.734433,-1.238178,0.00122,0.001295,10887.186254,7181.602338,1.00029
alpha_study[13],-2.940059,0.201719,-3.32571,-2.537081,0.001636,0.002196,15388.870192,7408.143155,1.000236
alpha_study[14],-2.721636,0.12504,-2.970925,-2.487357,0.001493,0.001166,7066.114066,7953.245457,1.000508
alpha_study[15],-1.397694,0.159295,-1.716158,-1.089525,0.001331,0.001669,14353.670238,6858.381888,1.000105
alpha_study[16],-1.517787,0.141327,-1.808323,-1.251012,0.001236,0.001577,13220.368228,7336.811291,1.000551
alpha_study[17],-2.015072,0.188312,-2.383803,-1.641227,0.001859,0.001992,10392.583055,7129.40936,1.000207
alpha_study[18],-2.874723,0.264124,-3.401473,-2.379188,0.002077,0.002937,16556.944845,7407.872566,1.0004
alpha_study[19],-3.227257,0.303304,-3.828816,-2.657134,0.002434,0.003354,15913.831802,7334.352718,1.000725
alpha_study[20],-1.512334,0.14163,-1.778066,-1.226517,0.00122,0.001444,13583.167914,7404.418616,1.00041
alpha_study[21],-2.138011,0.137174,-2.407676,-1.868911,0.001254,0.001386,11953.226091,7791.405353,1.000754
alpha_study[22],-2.892918,0.138306,-3.179102,-2.630446,0.001304,0.001487,11250.229512,7630.444149,1.000359
mu,-0.2394,0.060348,-0.359957,-0.123728,0.000786,0.000632,5989.596732,5719.677587,1.000613
tau,0.123507,0.076864,0.000169,0.260842,0.001747,0.000779,1814.54235,2914.455395,1.003753
z_study[1],0.009288,0.970946,-1.858917,1.921132,0.007333,0.010316,17517.143981,7412.64523,1.000031
z_study[2],-0.238094,0.972807,-2.137131,1.667666,0.007766,0.010207,15751.288651,7169.728379,1.000416
z_study[3],-0.103964,0.957277,-2.031522,1.753924,0.006968,0.01083,18799.655712,7485.937515,0.999987
z_study[4],-0.019888,0.803274,-1.634787,1.552293,0.00746,0.009289,11625.539158,7370.336471,1.000459
z_study[5],0.332903,0.922384,-1.491969,2.10598,0.008013,0.009154,13305.068891,7298.964793,1.000414
z_study[6],-0.100553,0.97079,-1.968796,1.836463,0.007532,0.01047,16583.350299,7904.502494,1.000083
z_study[7],-0.779033,0.825007,-2.331368,0.978788,0.010495,0.008966,6397.641861,5729.265531,1.001041
z_study[8],0.288783,0.868156,-1.492008,1.91235,0.008401,0.009062,10727.891205,7661.523054,1.000243
z_study[9],-0.206484,0.903187,-1.939452,1.634742,0.007617,0.009226,14068.31604,7886.622724,1.000639
z_study[10],-0.32226,0.769661,-1.805,1.286872,0.007812,0.008564,9704.92004,7342.928821,1.001053
z_study[11],0.043714,0.840334,-1.610734,1.718246,0.007467,0.008555,12635.541637,7232.158339,0.99986
z_study[12],0.332071,0.905084,-1.468656,2.113971,0.009354,0.009731,9461.184836,6827.392129,1.000556
z_study[13],-0.282868,0.980928,-2.19752,1.611131,0.008117,0.010977,14600.658115,7690.885723,1.000361
z_study[14],0.899939,0.924516,-1.038075,2.620195,0.01145,0.009078,6738.706771,5902.198373,1.001066
z_study[15],-0.025101,0.92019,-1.910708,1.71,0.007519,0.010406,15007.187864,7346.775639,0.999886
z_study[16],0.170424,0.914401,-1.621474,2.023278,0.007694,0.009778,14156.707618,7827.065255,1.000575
z_study[17],0.311518,0.951182,-1.612114,2.12067,0.008802,0.009287,11716.554566,7912.103053,1.000463
z_study[18],0.134283,0.979393,-1.785399,2.041351,0.0081,0.011255,14635.014274,7566.283958,1.000794
z_study[19],0.057155,0.97421,-1.826536,1.980428,0.008014,0.011213,14773.780405,6990.454433,1.000124
z_study[20],0.062871,0.891316,-1.666559,1.824118,0.007373,0.008784,14640.541708,7727.504139,1.000424
z_study[21],-0.459836,0.92966,-2.257073,1.396931,0.009323,0.010391,10061.00488,6414.10279,1.000353
z_study[22],-0.503115,0.925337,-2.275303,1.352953,0.009446,0.00952,9683.870492,7661.872912,1.000672
