study_id,beta_blocker_deaths,beta_blocker_survivors,beta_blocker_participants,control_deaths,control_survivors,control_participants,has_zero_cell,continuity_correction,log_odds_ratio,se_log_odds_ratio,odds_ratio,or_ci_lower_95,or_ci_upper_95,interpretation
1,3,35,38,3,36,39,False,0.0,0.0281708769666964,0.8503034005670406,1.0285714285714287,0.1942860370261542,5.44536910560922,Higher mortality odds with beta blocker
2,7,107,114,14,102,116,False,0.0,-0.7410032017375806,0.4831515603274661,0.4766355140186915,0.1848925820735255,1.228721080511061,Lower mortality odds with beta blocker
3,5,64,69,11,82,93,False,0.0,-0.5406211964596889,0.5645610798313239,0.5823863636363636,0.1925959297673157,1.7610646131481535,Lower mortality odds with beta blocker
4,102,1431,1533,127,1393,1520,False,0.0,-0.2461280789509654,0.1381833000979498,0.7818220835603097,0.5963262590721146,1.0250190412437716,Lower mortality odds with beta blocker
5,28,327,355,27,338,365,False,0.0,0.06945336875664,0.280656385297956,1.0719220749801788,0.6183917353133513,1.8580729159447489,Higher mortality odds with beta blocker
6,4,55,59,6,46,52,False,0.0,-0.5841568968515403,0.6757126721345896,0.5575757575757576,0.1482947051324378,2.096438474715144,Lower mortality odds with beta blocker
7,98,847,945,152,787,939,False,0.0,-0.5123854884103555,0.1386878313906579,0.5990648107872989,0.4564785180770156,0.7861895649229069,Lower mortality odds with beta blocker
8,60,572,632,48,423,471,False,0.0,-0.0786232610193101,0.2039909751486697,0.924388111888112,0.6197459937978128,1.3787800001154022,Lower mortality odds with beta blocker
9,25,253,278,37,245,282,False,0.0,-0.424173365958817,0.2739730440208465,0.6543104369191325,0.3824487841836629,1.119423477251034,Lower mortality odds with beta blocker
10,138,1778,1916,188,1733,1921,False,0.0,-0.3348234040309882,0.1170683112078628,0.7154644233300625,0.568771052510815,0.8999919014712614,Lower mortality odds with beta blocker
11,64,809,873,52,531,583,False,0.0,-0.2133975310383084,0.1948720152953822,0.8078349339165161,0.5513713827381093,1.1835893208949384,Lower mortality odds with beta blocker
12,45,218,263,47,219,266,False,0.0,-0.0389084449123269,0.2294606370946179,0.9618387663478432,0.6134532047491817,1.508075604279863,Lower mortality odds with beta blocker
13,9,282,291,16,277,293,False,0.0,-0.5932537096543371,0.4251674008024843,0.5525265957446808,0.2401283239932301,1.271343729587738,Lower mortality odds with beta blocker
14,57,801,858,45,838,883,False,0.0,0.2815459314779541,0.2054454641613341,1.3251768622555138,0.8859212824846061,1.982223196323183,Higher mortality odds with beta blocker
15,25,129,154,31,116,147,False,0.0,-0.3213335928722529,0.2977090730155827,0.725181295323831,0.4046052510403756,1.2997555264923415,Lower mortality odds with beta blocker
16,33,174,207,38,175,213,False,0.0,-0.1353479235509205,0.2609218885562915,0.8734119782214156,0.5237426584510563,1.4565330346715202,Lower mortality odds with beta blocker
17,28,223,251,12,110,122,False,0.0,0.1406064547195012,0.3641741795779371,1.1509715994020928,0.5637327782146926,2.349935419447436,Higher mortality odds with beta blocker
18,8,143,151,6,148,154,False,0.0,0.3220497159559886,0.552644940641304,1.37995337995338,0.4671362221007996,4.076479709239609,Higher mortality odds with beta blocker
19,6,168,174,3,131,134,False,0.0,0.4443805243578379,0.7166491252618958,1.5595238095238095,0.3827965005532763,6.353544269491465,Higher mortality odds with beta blocker
20,32,177,209,40,178,218,False,0.0,-0.2175097335959536,0.2598416730284313,0.8045197740112995,0.4834538527835418,1.338808374467518,Lower mortality odds with beta blocker
21,27,364,391,43,321,364,False,0.0,-0.591075994195958,0.2572068594250277,0.5537311525683619,0.3344722245223929,0.9167224266903466,Lower mortality odds with beta blocker
22,22,658,680,39,635,674,False,0.0,-0.6080991252039563,0.2723786538700916,0.5443846933208635,0.319192379707155,0.9284516585074588,Lower mortality odds with beta blocker
